###########################
# Oh, Canada! 10 provinces and 3 territories
#
# see en.wikipedia.org/wiki/Provinces_and_territories_of_Canada
#
# nb: key is two-letter canadian postal code
#
# for regions tags see
#   en.wikipedia.org/wiki/List_of_regions_of_Canada


bc, British Columbia,       Victoria,     922_509, en|western canada

ab, Alberta,                Edmonton,       640_082, en|western canada|prairies
mb, Manitoba,               Winnipeg,       552_330, en|western canada|prairies
sk, Saskatchewan,           Regina,         588_239, en|western canada|prairies

nb, New Brunswick,            Fredericton,    71_377, en|fr|eastern canada|atlantic canada|maritimes
ns, Nova Scotia,              Halifax,        52_939, en|eastern canada|atlantic canada|maritimes
pe, Prince Edward Island,     Charlottetown,   5_686, en|eastern canada|atlantic canada|maritimes
nl, Newfoundland and Labrador,  St. John's,   370_511, en|eastern canada|atlantic canada

on, Ontario,                Toronto,        908_608, en|eastern canada|central canada
qc, Québec,                 Quebec City,  1_356_547, fr|en|eastern canada|central canada

nt, Northwest Territories,  Yellowknife,    1_143_793, en|fr|northern canada|territories
yt, Yukon,                  Whitehorse,   474_713, en|northern canada|territories
nu, Nunavut,                Iqaluit,     1_877_788, iu|en|fr|northern canada|territories
