muenchen,      München,       region:by
nuernberg,     Nürnberg,      region:by
augsburg,      Augsburg,      region:by
fuerth,        Fürth,         region:by
stuttgart,     Stuttgart,     region:bw
hoffenheim,    Hoffenheim,    region:bw
freiburg,      Freiburg,      region:bw
hannover,      Hannover,      region:ni
wolfsburg,     Wolfsburg,     region:ni
gelsenkirchen, Gelsenkirchen, region:nw
dortmund,      Dortmund,      region:nw
leverkusen,    Leverkusen,    region:nw
duesseldorf,   Düsseldorf,    region:nw
mgladbach,     Mönchengladbach|Mgladbach, region:nw
frankfurt,     Frankfurt,     region:he
mainz,         Mainz,         region:rp
hamburg,       Hamburg,       region:hh
bremen,        Bremen,        region:hb
