Isla Ratón,                                  region:am
La Esmeralda,                                region:am
Maroa,                                       region:am
Puerto Ayacucho,                             region:am
San Carlos de Río Negro|Río Negro,           region:am
San Fernando de Atabapo,                     region:am
San Juan de Manapiare|Manapiare,             region:am

Anaco,                                       region:an
Aragua de Barcelona,                         region:an
Barcelona,                                   region:an
Boca de Uchire,                              region:an
Cantaura,                                    region:an
Clarines,                                    region:an
El Chaparro,                                 region:an
El Tigre,                                    region:an
El Tigrito,                                  region:an
Guanta,                                      region:an
Lechería,                                    region:an
Mapire,                                      region:an
Onoto,                                       region:an
Pariaguán,                                   region:an
Píritu,                                      region:an
Puerto la Cruz,                              region:an
Puerto Píritu,                               region:an
San Mateo,                                   region:an
Santa Ana,                                   region:an
Soledad,                                     region:an
Valle de Guanape|Guanape,                    region:an

achaguas,                        Achaguas,                                    region:ap
biruaca,                         Biruaca,                                     region:ap
bruzual,                         Bruzual,                                     region:ap
elorza,                          Elorza,                                      region:ap
guasdualito,                     Guasdualito,                                 region:ap
sanfernandodeapure,              San Fernando de Apure|San Fernando,          region:ap
sanjuandepayara,                 San Juan de Payara|Payara,                   region:ap

barbacoas,                       Barbacoas,                                   region:ar
cagua,                           Cagua,                                       region:ar
camatagua,                       Camatagua,                                   region:ar
coloniatovar,                    Colonia Tovar,                               region:ar
elconsejo,                       El Consejo,                                  region:ar
ellimon,                         El Limón,                                    region:ar
lavictoria,                      La Victoria,                                 region:ar
lastejerias,                     Las Tejerías|Tejerías,                       region:ar
maracay,                         Maracay,                                     region:ar
ocumaredelacosta,                Ocumare de la Costa|Ocumare,                 region:ar
palonegro,                       Palo Negro,                                  region:ar
sancasimiro,                     San Casimiro,                                region:ar
sanmateo,                        San Mateo,                                   region:ar
sansebastian,                    San Sebastián,                               region:ar
santacruz,                       Santa Cruz,                                  region:ar
santarita,                       Santa Rita,                                  region:ar
turmero,                         Turmero,                                     region:ar
villadecura,                     Villa de Cura|La Villa,                      region:ar

arismendi,                       Arismendi,                                   region:ba
barinas,                         Barinas,                                     region:ba
barinitas,                       Barinitas,                                   region:ba
barrancas,                       Barrancas,                                   region:ba
ciudadbolivia,                   Ciudad Bolivia,                              region:ba
ciudaddenutrias,                 Ciudad de Nutrias,                           region:ba
elcanton,                        El Cantón,                                   region:ba
libertad,                        Libertad,                                    region:ba
obispos,                         Obispos,                                     region:ba
sabaneta,                        Sabaneta,                                    region:ba
santabarbara,                    Santa Bárbara,                               region:ba
socopo,                          Socopó,                                      region:ba

caicaradelorinoco,               Caicara del Orinoco|Caicara,                 region:bo
ciudadbolivar,                   Ciudad Bolívar,                              region:bo
ciudadguayana,                   Ciudad Guayana,                              region:bo
ciudadpiar,                      Ciudad Piar,                                 region:bo
elcallao,                        El Callao,                                   region:bo
elpalmar,                        El Palmar,                                   region:bo
